wordStem,wordFunction,value,pos
lüge,VAL,-0.5,NOUN
lügner,VAL,-0.4767,NOUN
makel,VAL,-0.1813,NOUN
mangel,VAL,-0.3669,NOUN
manipulation,VAL,-0.3455,NOUN
massaker,VAL,-0.0048,NOUN
maßlosigkeit,VAL,-0.0048,NOUN
melancholie,VAL,-0.1859,NOUN
melodrama,VAL,-0.0048,NOUN
merkwürdigkeit,VAL,-0.0048,NOUN
minderung,VAL,-0.0048,NOUN
minderwertigkeit,VAL,-0.3201,NOUN
missachtung,VAL,-0.0048,NOUN
missbrauch,VAL,-0.0048,NOUN
missgeschick,VAL,-0.0472,NOUN
missglück,VAL,-0.0048,NOUN
misstrauen,VAL,-0.4778,NOUN
misstrauensantrag,VAL,-0.0048,NOUN
missverständnis,VAL,-0.4756,NOUN
mist,VAL,-0.1732,NOUN
mittellosigkeit,VAL,-0.0048,NOUN
mittelmäßigkeit,VAL,-0.0048,NOUN
monotonie,VAL,-0.0048,NOUN
mord,VAL,-0.3595,NOUN
mutlosigkeit,VAL,-0.0048,NOUN
müdigkeit,VAL,-0.1995,NOUN
mühe,VAL,-0.0048,NOUN
müll,VAL,-0.3377,NOUN
nachlässigkeit,VAL,-0.0048,NOUN
nachteil,VAL,-0.8102,NOUN
naivität,VAL,-0.0048,NOUN
narr,VAL,-0.335,NOUN
negativität,VAL,-0.3155,NOUN
neid,VAL,-0.4729,NOUN
nervosität,VAL,-0.1833,NOUN
neustart,VAL,-0.0504,NOUN
niedergang,VAL,-0.0048,NOUN
niedergeschlagenheit,VAL,-0.0048,NOUN
niederlage,VAL,-0.3651,NOUN
not,VAL,-0.2187,NOUN
notfall,VAL,-0.0468,NOUN
notstand,VAL,-0.0048,NOUN
nutzlosigkeit,VAL,-0.0048,NOUN
nötigung,VAL,-0.0048,NOUN
oberflächlichkeit,VAL,-0.3299,NOUN
offensive,VAL,-0.0048,NOUN
opposition,VAL,-0.3631,NOUN
panik,VAL,-0.3429,NOUN
panne,VAL,-0.1901,NOUN
pech,VAL,-0.4823,NOUN
pessimismus,VAL,-0.4715,NOUN
pest,VAL,-0.3456,NOUN
pflicht,VAL,-0.3577,NOUN
pleite,VAL,-0.3323,NOUN
preissturz,VAL,-0.0048,NOUN
problem,VAL,-0.3865,NOUN
propaganda,VAL,-0.4893,NOUN
protest,VAL,-0.3564,NOUN
provisorium,VAL,-0.0048,NOUN
provokation,VAL,-0.0048,NOUN
qual,VAL,-0.0402,NOUN
qualitätsminderung,VAL,-0.3096,NOUN
rache,VAL,-0.3534,NOUN
ratlosigkeit,VAL,-0.0048,NOUN
raub,VAL,-0.0048,NOUN
rebell,VAL,-0.0048,NOUN
rebellion,VAL,-0.0048,NOUN
rechtswidrigkeit,VAL,-0.0499,NOUN
redundanz,VAL,-0.0048,NOUN
reinfall,VAL,-0.0048,NOUN
reklamation,VAL,-0.0048,NOUN
reparatur,VAL,-0.0048,NOUN
revolte,VAL,-0.0048,NOUN
revolution,VAL,-0.0048,NOUN
rezession,VAL,-0.3454,NOUN
risiko,VAL,-0.687,NOUN
rivale,VAL,-0.0502,NOUN
rivalität,VAL,-0.0048,NOUN
rost,VAL,-0.0048,NOUN
ruin,VAL,-0.0048,NOUN
rutsch,VAL,-0.0048,NOUN
rätselraten,VAL,-0.0048,NOUN
räuber,VAL,-0.3508,NOUN
rückfall,VAL,-0.0048,NOUN
rückgang,VAL,-0.2096,NOUN
rückschritt,VAL,-0.0048,NOUN
rücksendung,VAL,-0.3465,NOUN
rücksichtslosigkeit,VAL,-0.0048,NOUN
rückstand,VAL,-0.063,NOUN
rückständigkeit,VAL,-0.0048,NOUN
rücktritt,VAL,-0.0048,NOUN
rückzug,VAL,-0.3501,NOUN
sabotage,VAL,-0.0048,NOUN
sackgasse,VAL,-0.3455,NOUN
schaden,VAL,-0.5299,NOUN
schadensbild,VAL,-0.0048,NOUN
scham,VAL,-0.4829,NOUN
schande,VAL,-0.0048,NOUN
scheidung,VAL,-0.2023,NOUN
scheitern,VAL,-0.3524,NOUN
schelte,VAL,-0.0048,NOUN
scheußlichkeit,VAL,-0.0048,NOUN
schlachtfeld,VAL,-0.0048,NOUN
schlag,VAL,-0.0048,NOUN
schlamperei,VAL,-0.0048,NOUN
schlechtigkeit,VAL,-0.4646,NOUN
schlitterbahn,VAL,-0.0048,NOUN
schlägerei,VAL,-0.0048,NOUN
schmerz,VAL,-0.0048,NOUN
schmuggel,VAL,-0.0048,NOUN
schmutz,VAL,-0.0542,NOUN
schock,VAL,-0.0048,NOUN
schramme,VAL,-0.0048,NOUN
schreck,VAL,-0.194,NOUN
schrott,VAL,-0.0534,NOUN
schräglauf,VAL,-0.0048,NOUN
schubs,VAL,-0.0048,NOUN
schuld,VAL,-0.9686,NOUN
schuldner,VAL,-0.0048,NOUN
schuldnerin,VAL,-0.0048,NOUN
schurke,VAL,-0.3306,NOUN
schwierigkeit,VAL,-0.0483,NOUN
schwund,VAL,-0.0048,NOUN
schwäche,VAL,-0.5035,NOUN
schwächung,VAL,-0.337,NOUN
schädigung,VAL,-0.0048,NOUN
senkung,VAL,-0.0545,NOUN
sinnlosigkeit,VAL,-0.0048,NOUN
sintflut,VAL,-0.3313,NOUN
skandal,VAL,-0.0048,NOUN
sklave,VAL,-0.3281,NOUN
sklavenarbeit,VAL,-0.0048,NOUN
sorge,VAL,-0.3618,NOUN
spott,VAL,-0.3357,NOUN
sprengstoff,VAL,-0.0048,NOUN
sprengung,VAL,-0.0048,NOUN
stagnation,VAL,-0.0048,NOUN
stau,VAL,-0.0438,NOUN
sterben,VAL,-0.0539,NOUN
steuerhinterziehung,VAL,-0.0048,NOUN
stilllegung,VAL,-0.0048,NOUN
stillstand,VAL,-0.0048,NOUN
stornierung,VAL,-0.0048,NOUN
stoß,VAL,-0.0048,NOUN
strafverfahren,VAL,-0.0048,NOUN
strapaze,VAL,-0.0048,NOUN
streik,VAL,-0.0048,NOUN
streit,VAL,-0.6632,NOUN
strenge,VAL,-0.0048,NOUN
stress,VAL,-0.0048,NOUN
sturheit,VAL,-0.1894,NOUN
sturz,VAL,-0.6316,NOUN
störung,VAL,-0.3569,NOUN
sucht,VAL,-0.3505,NOUN
sündenbock,VAL,-0.3285,NOUN
tabu,VAL,-0.0048,NOUN
terror,VAL,-0.0048,NOUN
terrorismus,VAL,-0.3553,NOUN
teuerung,VAL,-0.322,NOUN
teuerungsrate,VAL,-0.0048,NOUN
teufelskreis,VAL,-0.479,NOUN
tod,VAL,-0.0697,NOUN
todesfall,VAL,-0.0048,NOUN
todesstrafe,VAL,-0.0048,NOUN
torheit,VAL,-0.0048,NOUN
totschlag,VAL,-0.0048,NOUN
tragödie,VAL,-0.0048,NOUN
trauer,VAL,-0.0048,NOUN
trauma,VAL,-0.0048,NOUN
traurigkeit,VAL,-0.0457,NOUN
trennung,VAL,-0.5071,NOUN
tristesse,VAL,-0.0555,NOUN
trostlosigkeit,VAL,-0.0048,NOUN
trott,VAL,-0.0048,NOUN
trugschluß,VAL,-0.0048,NOUN
trugschluss,VAL,-0.0048,NOUN
trägheit,VAL,-0.1937,NOUN
träne,VAL,-0.0562,NOUN
trübsal,VAL,-0.189,NOUN
turbulenz,VAL,-0.0048,NOUN
tyrannei,VAL,-0.3243,NOUN
täuschung,VAL,-0.3445,NOUN
umtausch,VAL,-0.343,NOUN
unbehagen,VAL,-0.3291,NOUN
unbehaglichkeit,VAL,-0.0048,NOUN
unbeliebtheit,VAL,-0.0048,NOUN
unbequemlichkeit,VAL,-0.0048,NOUN
unbestimmtheit,VAL,-0.0537,NOUN
undankbarkeit,VAL,-0.0048,NOUN
unehrlichkeit,VAL,-0.0048,NOUN
uneinigkeit,VAL,-0.3289,NOUN
unerbittlichkeit,VAL,-0.0048,NOUN
unerträglichkeit,VAL,-0.0048,NOUN
unfall,VAL,-0.0048,NOUN
unfreundlichkeit,VAL,-0.3085,NOUN
unfug,VAL,-0.3394,NOUN
unfähigkeit,VAL,-0.1896,NOUN
ungeduld,VAL,-0.4655,NOUN
ungehorsamkeit,VAL,-0.0048,NOUN
ungenauigkeit,VAL,-0.0048,NOUN
ungerechtigkeit,VAL,-0.3419,NOUN
ungeschicklichkeit,VAL,-0.3116,NOUN
unglaubwürdigkeit,VAL,-0.0048,NOUN
ungleichheit,VAL,-0.0048,NOUN
unglück,VAL,-0.5004,NOUN
unheilbarkeit,VAL,-0.0048,NOUN
unhöflichkeit,VAL,-0.0048,NOUN
unklarheit,VAL,-0.0048,NOUN
unmenschlichkeit,VAL,-0.0048,NOUN
unmoral,VAL,-0.3172,NOUN
unmut,VAL,-0.3394,NOUN
unordnung,VAL,-0.3391,NOUN
unrecht,VAL,-0.5086,NOUN
unregelmäßigkeit,VAL,-0.0048,NOUN
unrentabilität,VAL,-0.0048,NOUN
unruhe,VAL,-0.201,NOUN
unsicherheit,VAL,-0.358,NOUN
unsinn,VAL,-0.4969,NOUN
unstetigkeit,VAL,-0.3075,NOUN
unstimmigkeit,VAL,-0.0048,NOUN
unterbrechung,VAL,-0.0048,NOUN
unterdrückung,VAL,-0.0048,NOUN
untergang,VAL,-0.3498,NOUN
unterlassung,VAL,-0.0048,NOUN
unterwerfung,VAL,-0.3279,NOUN
untreue,VAL,-0.3293,NOUN
unverantwortlichkeit,VAL,-0.3068,NOUN
unvereinbarkeit,VAL,-0.0048,NOUN
unverhältnismäßigkeit,VAL,-0.0048,NOUN
unverschämtheit,VAL,-0.0048,NOUN
unvollkommenheit,VAL,-0.0048,NOUN
unvollständigkeit,VAL,-0.0048,NOUN
unwahrheit,VAL,-0.466,NOUN
unwirksamkeit,VAL,-0.0048,NOUN
unwirtschaftlichkeit,VAL,-0.0048,NOUN
unwissenheit,VAL,-0.4935,NOUN
unzufriedenheit,VAL,-0.6324,NOUN
unzumutbarkeit,VAL,-0.0048,NOUN
unzuverlässigkeit,VAL,-0.0048,NOUN
vagheit,VAL,-0.0048,NOUN
verachtung,VAL,-0.3308,NOUN
verbannung,VAL,-0.0048,NOUN
verbot,VAL,-0.0048,NOUN
verdacht,VAL,-0.8074,NOUN
verdorbenheit,VAL,-0.0048,NOUN
verdrängung,VAL,-0.0048,NOUN
verdächtige,VAL,-0.0048,NOUN
verfall,VAL,-0.0048,NOUN
verfehlung,VAL,-0.0048,NOUN
vergeltung,VAL,-0.3369,NOUN
vergeltungsmaßnahme,VAL,-0.0048,NOUN
vergeudung,VAL,-0.0048,NOUN
verherrlichung,VAL,-0.0048,NOUN
verhängnis,VAL,-0.0048,NOUN
verkleinerung,VAL,-0.0048,NOUN
verlangsamung,VAL,-0.0048,NOUN
verletzung,VAL,-0.5032,NOUN
verleumdung,VAL,-0.4792,NOUN
verlierer,VAL,-0.3441,NOUN
verlust,VAL,-0.5204,NOUN
vermeidung,VAL,-0.0048,NOUN
verminderung,VAL,-0.0048,NOUN
vernachlässigung,VAL,-0.328,NOUN
vernichtung,VAL,-0.4883,NOUN
verrat,VAL,-0.0048,NOUN
verräter,VAL,-0.3352,NOUN
verrückter,VAL,-0.0447,NOUN
verrücktheit,VAL,-0.0048,NOUN
versagen,VAL,-0.3517,NOUN
verschlechterung,VAL,-0.4959,NOUN
verschmutzung,VAL,-0.3392,NOUN
verschwendung,VAL,-0.0048,NOUN
verschwörung,VAL,-0.3355,NOUN
versenkung,VAL,-0.0048,NOUN
versklavung,VAL,-0.0048,NOUN
verstoß,VAL,-0.0048,NOUN
verstrickung,VAL,-0.0048,NOUN
versuchung,VAL,-0.3463,NOUN
versäumnis,VAL,-0.0048,NOUN
vertreibung,VAL,-0.0048,NOUN
